City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Mantua,IT,45.1667,10.7833,79.84,77,0,6.22,clear sky
198,Krasnoselkup,RU,65.7,82.4667,46.22,71,3,19.46,clear sky
199,Bani Walid,LY,31.7566,13.9942,78.98,59,0,9.51,clear sky
200,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.24,25,11,3.04,few clouds
201,Wembley,AU,-31.9333,115.8,57.4,66,100,14.97,light intensity drizzle
202,Faya,SA,18.3851,42.4509,64.92,55,61,5.59,broken clouds
203,Plettenberg Bay,ZA,-34.0527,23.3716,49.57,75,2,5.64,clear sky
204,Tigil,RU,57.8,158.6667,58.62,62,50,8.84,scattered clouds
205,Ustynivka,UA,47.9551,32.5367,73.99,35,100,9.17,overcast clouds
206,Arrifes,PT,37.7667,-25.7,68.25,88,40,4.61,scattered clouds
207,Tuktoyaktuk,CA,69.4541,-133.0374,51.44,72,46,9.37,scattered clouds
208,Lanigan,CA,51.8501,-105.0344,71.51,59,83,6.46,broken clouds
209,Opuwo,NA,-18.0607,13.84,53.38,41,1,7.0,clear sky
210,Mar Del Plata,AR,-38.0023,-57.5575,54.95,83,100,11.01,overcast clouds
211,Zhezkazgan,KZ,47.8043,67.7144,70.29,44,66,9.24,broken clouds
212,Wanaka,NZ,-44.7,169.15,30.94,76,4,4.9,clear sky
213,Bairiki,KI,1.3292,172.9752,78.8,94,75,10.36,light intensity shower rain
214,Salalah,OM,17.0151,54.0924,77.09,88,75,8.05,broken clouds
215,Kahului,US,20.8947,-156.47,87.82,51,20,24.16,few clouds
216,Saldanha,ZA,-33.0117,17.9442,52.77,76,0,15.52,clear sky
217,Killam,CA,52.7834,-111.8518,69.62,80,99,8.75,overcast clouds
218,Tromso,NO,69.6496,18.957,59.38,72,0,2.3,clear sky
219,Jerome,US,42.7241,-114.5186,99.88,21,0,5.75,clear sky
220,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,12.66,few clouds
221,Quixeramobim,BR,-5.1992,-39.2928,82.72,52,83,5.66,broken clouds
222,Poum,NC,-20.2333,164.0167,70.68,74,92,10.6,overcast clouds
223,Kuytun,RU,54.3419,101.5036,57.42,95,73,6.11,broken clouds
224,Maniitsoq,GL,65.4167,-52.9,41.41,92,71,6.02,broken clouds
225,Mabaruma,GY,8.2,-59.7833,82.45,74,23,6.22,few clouds
226,Tasiilaq,GL,65.6145,-37.6368,46.56,51,25,6.02,scattered clouds
227,Hovd,MN,48.0056,91.6419,66.94,53,100,0.87,light rain
228,Shilka,RU,51.85,116.0333,60.51,74,8,4.72,clear sky
229,Seoul,KR,37.5683,126.9778,78.24,100,100,9.22,moderate rain
230,Rundu,NA,-17.9333,19.7667,60.66,26,2,6.6,clear sky
231,Komsomolskiy,UZ,40.4272,71.7189,77.72,36,100,4.61,overcast clouds
232,Hithadhoo,MV,-0.6,73.0833,79.63,77,100,16.96,overcast clouds
233,Sechura,PE,-5.5569,-80.8222,73.6,59,11,15.82,few clouds
234,Kodinsk,RU,58.6881,99.1844,63.77,87,94,2.62,overcast clouds
235,Orlik,RU,52.5178,99.825,52.41,82,86,1.23,overcast clouds
