City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Totoral,PE,2022-07-23 05:02:49,-17.4053,-70.365,56.61,46,2,1.57
284,Mogadishu,SO,2022-07-23 05:02:39,2.0371,45.3438,76.48,79,86,16.84
285,Waddan,LY,2022-07-23 05:02:50,29.1614,16.139,74.03,49,0,3.87
286,Krasnoselkup,RU,2022-07-23 05:02:50,65.7,82.4667,74.48,51,100,15.59
287,Port Blair,IN,2022-07-23 05:02:50,11.6667,92.75,80.8,82,100,9.95
288,Thompson,CA,2022-07-23 05:02:51,55.7435,-97.8558,53.76,94,100,5.75
289,Shahreza,IR,2022-07-23 05:02:51,32.0339,51.8794,86.31,18,0,1.61
290,Labuhan,ID,2022-07-23 05:02:52,-6.8844,112.2051,86.63,59,14,2.3
291,Kavieng,PG,2022-07-23 05:02:52,-2.5744,150.7967,84.74,69,18,9.62
292,Haverfordwest,GB,2022-07-23 05:02:53,51.8017,-4.9691,61.05,93,98,12.66
