City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Uruzgan,AF,78.91,few clouds,32.8333,66.0,
474,Adre,TD,75.85,light rain,13.4667,22.2,
475,Fukue,JP,82.6,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
476,Tacuati,PY,74.91,overcast clouds,-23.45,-56.5833,
478,Alyangula,AU,69.55,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
479,Tucurui,BR,83.53,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
483,Knyaze-Volkonskoye,RU,71.94,few clouds,48.4642,135.4567,Obshchezhitiye
486,Honjo,JP,78.67,scattered clouds,36.2333,139.1833,Hotel Honjo
487,Buchanan,LR,76.08,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
489,Presidente Epitacio,BR,77.76,clear sky,-21.7633,-52.1156,Hotel Itaverá
490,Ouallam,NE,84.76,overcast clouds,14.3188,2.0866,
491,Melito Di Porto Salvo,IT,82.74,clear sky,37.9222,15.7714,B&B Nereidi
492,Turayf,SA,86.25,clear sky,31.6725,38.6637,Turaif
493,Cairns,AU,71.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
497,Kenai,US,66.02,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
498,Manadhoo,MV,77.0,light rain,5.7667,73.3833,Bon Abri maldives
499,Aparecida Do Taboado,BR,79.75,clear sky,-20.0867,-51.0936,Aritana
500,Morondava,MG,72.84,clear sky,-20.2833,44.2833,La Case Bambou
503,Kita,ML,77.86,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
505,Abbeville,FR,67.5,scattered clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
506,South Lake Tahoe,US,86.25,broken clouds,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
508,Huangchuan,CN,76.78,clear sky,32.1272,115.0394,Guangzhou International Hotel
509,Pidhorodne,UA,74.57,broken clouds,48.5753,35.1068,Комфорт
510,San Ramon,US,74.91,clear sky,37.7799,-121.978,San Ramon Marriott
511,Waupun,US,82.51,few clouds,43.6333,-88.7296,Gateway Inn and Suites
512,Kousseri,CM,81.99,light rain,12.0769,15.0306,Le Pilotis
513,Pangkalanbuun,ID,72.48,light rain,-2.6833,111.6167,Grand Kecubung Hotel
514,Phonhong,LA,74.5,light rain,18.5007,102.4166,Manyvong Guest House
516,Outlook,CA,80.24,scattered clouds,51.5001,-107.0513,Red Wheel Motel
517,Cabra,ES,84.76,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
518,Yarada,IN,80.92,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
519,Saint-Laurent-Du-Var,FR,81.79,clear sky,43.671,7.1761,Pierre et Vacances Heliotel Marine
520,Dong Hoi,VN,79.68,clear sky,17.4833,106.6,Nam Long Hotel
521,Shunyi,CN,76.95,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
522,Bull Savanna,JM,85.87,clear sky,17.8868,-77.5902,Big Red's
523,Gijon,ES,71.06,scattered clouds,43.5357,-5.6615,Hotel Norte
524,Oriximina,BR,78.37,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
525,Srednekolymsk,RU,69.12,broken clouds,67.45,153.6833,
526,Kieta,PG,79.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
527,Tanabe,JP,79.16,overcast clouds,33.7333,135.3667,美吉屋旅館
529,Kavieng,PG,81.66,light rain,-2.5744,150.7967,Nusa Island Retreat
530,Mogadishu,SO,76.1,few clouds,2.0371,45.3438,Hotel Juba
531,Lagos,NG,75.58,overcast clouds,6.5833,3.75,
533,Ranau,MY,69.78,overcast clouds,5.9538,116.6641,The Second Room
534,Atraulia,IN,85.84,overcast clouds,26.3333,82.95,ShivKunj
536,Montepuez,MZ,66.11,broken clouds,-13.1256,38.9997,PembaAparthotel
537,Akbarpur,IN,84.63,overcast clouds,26.4167,82.55,Hotel Aviral Palace
541,Bonavista,CA,67.46,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
543,Coos Bay,US,72.99,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
544,Ende,ID,73.02,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
546,Sambava,MG,67.39,light rain,-14.2667,50.1667,Melrose
547,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
548,Mackenzie,CA,77.22,broken clouds,55.2999,-123.1698,Hilton Shop
549,Ranong,TH,79.38,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
551,Kutum,SD,69.75,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
